title,genre
In Bruges (2008),Comedy Crime Drama Thriller
Father of the Bride Part II (1995),Comedy
Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),Action Comedy Sci-Fi
Miss Congeniality 2: Armed and Fabulous (2005),Adventure Comedy Crime
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama Horror Mystery Thriller
"Man Who Could Work Miracles, The (1936)",Comedy Fantasy
1984 (1956),Drama Sci-Fi
Pecker (1998),Comedy Drama
Toy Story That Time Forgot (2014),Animation Children
"Exorcist, The (1973)",Horror Mystery
Orange County (2002),Comedy
Intouchables (2011),Comedy Drama
Star Wars: Episode III - Revenge of the Sith (2005),Action Adventure Sci-Fi
As Good as It Gets (1997),Comedy Drama Romance
"Legend of Bagger Vance, The (2000)",Drama Romance
"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Drama Fantasy Thriller
"Ninth Gate, The (1999)",Fantasy Horror Mystery Thriller
10 Cloverfield Lane (2016),Thriller
Divergent (2014),Adventure Romance Sci-Fi IMAX
Groundhog Day (1993),Comedy Fantasy Romance
Back to the Future Part II (1989),Adventure Comedy Sci-Fi
Memoirs of a Geisha (2005),Drama Romance
Apollo 13 (1995),Adventure Drama IMAX
Free Fall (2013),Drama
Tears of the Sun (2003),Action Drama Thriller
Escape from New York (1981),Action Adventure Sci-Fi Thriller
Swimming Pool (2003),Drama Mystery Thriller
Ghostbusters (a.k.a. Ghost Busters) (1984),Action Comedy Sci-Fi
"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure Fantasy
Airplane! (1980),Comedy
"Avengers, The (2012)",Action Adventure Sci-Fi IMAX
Pirates of the Caribbean: At World's End (2007),Action Adventure Comedy Fantasy
Valkyrie (2008),Drama Thriller War
Back to the Future Part III (1990),Adventure Comedy Sci-Fi Western
Algiers (1938),Drama Romance
"Terminator, The (1984)",Action Sci-Fi Thriller
"X-Files: Fight the Future, The (1998)",Action Crime Mystery Sci-Fi Thriller
Deadpool 2 (2018),Action Comedy Sci-Fi
Sweeney Todd: The Demon Barber of Fleet Street (2007),Drama Horror Musical Thriller
Man of Steel (2013),Action Adventure Fantasy Sci-Fi IMAX
Men in Black (a.k.a. MIB) (1997),Action Comedy Sci-Fi
102 Dalmatians (2000),Children Comedy
Charlie and the Chocolate Factory (2005),Adventure Children Comedy Fantasy IMAX
Resident Evil: Retribution (2012),Action Horror Sci-Fi IMAX
"Honey, I Shrunk the Kids (1989)",Adventure Children Comedy Fantasy Sci-Fi
Ocean's Twelve (2004),Action Comedy Crime Thriller
"Wedding Planner, The (2001)",Comedy Romance
Notting Hill (1999),Comedy Romance
"Graduate, The (1967)",Comedy Drama Romance
Snakes on a Plane (2006),Action Comedy Horror Thriller
Big Fish (2003),Drama Fantasy Romance
Elizabeth (1998),Drama
House of Cards (1993),Drama
"Insider, The (1999)",Drama Thriller
Close Encounters of the Third Kind (1977),Adventure Drama Sci-Fi
"Hunchback of Notre Dame, The (1996)",Animation Children Drama Musical Romance
"Abominable Dr. Phibes, The (1971)",Horror Mystery
"Cook the Thief His Wife & Her Lover, The (1989)",Comedy Drama
Harry Potter and the Goblet of Fire (2005),Adventure Fantasy Thriller IMAX
"Shawshank Redemption, The (1994)",Crime Drama
Robin Hood: Men in Tights (1993),Comedy
Lake Placid (1999),Horror Thriller
"Rock, The (1996)",Action Adventure Thriller
"Brood, The (1979)",Horror
Waterworld (1995),Action Adventure Sci-Fi
"Mist, The (2007)",Horror Sci-Fi
Star Wars: Episode V - The Empire Strikes Back (1980),Action Adventure Sci-Fi
"Gift, The (2000)",Thriller
"Nutty Professor, The (1996)",Comedy Fantasy Romance Sci-Fi
Memento (2000),Mystery Thriller
"Usual Suspects, The (1995)",Crime Mystery Thriller
Despicable Me (2010),Animation Children Comedy Crime
Die Hard: With a Vengeance (1995),Action Crime Thriller
Hannibal (2001),Horror Thriller
Blue Thunder (1983),Action Crime Drama
Vertigo (1958),Drama Mystery Romance Thriller
King Kong (1933),Action Adventure Fantasy Horror
Apocalypse Now (1979),Action Drama War
Finding Nemo (2003),Adventure Animation Children Comedy
"Pianist, The (2002)",Drama War
"Craft, The (1996)",Drama Fantasy Horror Thriller
Pulp Fiction (1994),Comedy Crime Drama Thriller
Midnight Run (1988),Action Comedy Crime Thriller
Edward Scissorhands (1990),Drama Fantasy Romance
"South Park: Bigger, Longer and Uncut (1999)",Animation Comedy Musical
Parade (1974),Children Comedy
Scream 3 (2000),Comedy Horror Mystery Thriller
Jackass: The Movie (2002),Action Comedy Documentary
Ace Ventura: When Nature Calls (1995),Comedy
Indiana Jones and the Temple of Doom (1984),Action Adventure Fantasy
John Wick: Chapter Two (2017),Action Crime Thriller
Confessions of a Dangerous Mind (2002),Comedy Crime Drama Romance Thriller
Cool Runnings (1993),Comedy
Satan's Tango (Sátántangó) (1994),Drama
Always (1989),Drama Fantasy Romance
Always Watching: A Marble Hornets Story (2015),Horror
Dances with Wolves (1990),Adventure Drama Western
Ray (2004),Drama
Final Destination (2000),Drama Thriller
Schindler's List (1993),Drama War
Sexmission (Seksmisja) (1984),Adventure Comedy Sci-Fi
Mon Oncle (My Uncle) (1958),Comedy
Soldier (1998),Action Sci-Fi War
Pinocchio (1940),Animation Children Fantasy Musical
Spanglish (2004),Comedy Drama Romance
Glory (1989),Drama War
Big Hero 6 (2014),Action Animation Comedy
10 Things I Hate About You (1999),Comedy Romance
"House Bunny, The (2008)",Comedy
"Red Violin, The (Violon rouge, Le) (1998)",Drama Mystery
"Godfather, The (1972)",Crime Drama
It's a Wonderful Life (1946),Children Drama Fantasy Romance
"Net, The (1995)",Action Crime Thriller
"Fifth Element, The (1997)",Action Adventure Comedy Sci-Fi
Pleasantville (1998),Comedy Drama Fantasy
Aladdin (1992),Adventure Animation Children Comedy Musical
Matilda (1996),Children Comedy Fantasy
Cars (2006),Animation Children Comedy
Toy Story (1995),Adventure Animation Children Comedy Fantasy
Independence Day (a.k.a. ID4) (1996),Action Adventure Sci-Fi Thriller
Iron Man 3 (2013),Action Sci-Fi Thriller IMAX
"Clockwork Orange, A (1971)",Crime Drama Sci-Fi Thriller
Sleeper (1973),Comedy Sci-Fi
Jaws 2 (1978),Horror Thriller
Tank Girl (1995),Action Comedy Sci-Fi
Eight Men Out (1988),Drama
Harry Potter and the Chamber of Secrets (2002),Adventure Fantasy
Boogie Nights (1997),Drama
"Mighty Ducks, The (1992)",Children Comedy
"Perfect Storm, The (2000)",Drama Thriller
"Right Stuff, The (1983)",Drama
Rabid (1977),Horror Thriller
Alien³ (a.k.a. Alien 3) (1992),Action Horror Sci-Fi Thriller
Liar Liar (1997),Comedy
Sleeping Beauty (1959),Animation Children Musical
Maze Runner: The Death Cure (2018),Action Mystery Sci-Fi Thriller
Vagabond (Sans toit ni loi) (1985),Drama
"Mask, The (1994)",Action Comedy Crime Fantasy
AVP: Alien vs. Predator (2004),Action Horror Sci-Fi Thriller
"Dirty Dozen, The (1967)",Action Drama War
Freeway (1996),Comedy Crime Drama Thriller
Saving Private Ryan (1998),Action Drama War
Philadelphia (1993),Drama
District 9 (2009),Mystery Sci-Fi Thriller
Teenage Mutant Ninja Turtles (1990),Action Children Comedy Fantasy Sci-Fi
"Dark Knight Rises, The (2012)",Action Adventure Crime IMAX
"Bone Collector, The (1999)",Thriller
"Day After Tomorrow, The (2004)",Action Adventure Drama Sci-Fi Thriller
You've Got Mail (1998),Comedy Romance
Cliffhanger (1993),Action Adventure Thriller
"Wolverine, The (2013)",Action Adventure Fantasy Sci-Fi
Armageddon (1998),Action Romance Sci-Fi Thriller
Lawnmower Man 2: Beyond Cyberspace (1996),Action Sci-Fi Thriller
"Matrix Reloaded, The (2003)",Action Adventure Sci-Fi Thriller IMAX
Gosford Park (2001),Comedy Drama Mystery
Delirious (2006),Comedy Drama
Just Friends (2005),Comedy Romance
"Godfather: Part III, The (1990)",Crime Drama Mystery Thriller
Monty Python's Life of Brian (1979),Comedy
Push (2009),Sci-Fi Thriller
Rounders (1998),Drama
Phenomenon (1996),Drama Romance
Moonlight and Valentino (1995),Drama Romance
Unbreakable (2000),Drama Sci-Fi
Mustang (2015),Drama
Starsky & Hutch (2004),Action Comedy Crime Thriller
Fantastic Mr. Fox (2009),Adventure Animation Children Comedy Crime
"Princess Bride, The (1987)",Action Adventure Comedy Fantasy Romance
Don't Bother to Knock (1952),Drama Thriller
Blood Feast (1963),Horror
Dogville (2003),Drama Mystery Thriller
Willy Wonka & the Chocolate Factory (1971),Children Comedy Fantasy Musical
Elf (2003),Children Comedy Fantasy
Desperado (1995),Action Romance Western
"Lost World: Jurassic Park, The (1997)",Action Adventure Sci-Fi Thriller
"Gun in Betty Lou's Handbag, The (1992)",Comedy Mystery
Charlie's Angels (2000),Action Comedy
Honeymoon in Vegas (1992),Comedy Romance
Hotel Rwanda (2004),Drama War
GoldenEye (1995),Action Adventure Thriller
Forrest Gump (1994),Comedy Drama Romance War
"Santa Clause, The (1994)",Comedy Drama Fantasy
12 Years a Slave (2013),Drama
Doctor Strange (2016),Action Adventure Sci-Fi
Revenge of the Nerds (1984),Comedy
Snow White and the Seven Dwarfs (1937),Animation Children Drama Fantasy Musical
RoboCop (1987),Action Crime Drama Sci-Fi Thriller
"Road to El Dorado, The (2000)",Animation Children
Fight Club (1999),Action Crime Drama Thriller
Seven Samurai (Shichinin no samurai) (1954),Action Adventure Drama
Ghost (1990),Comedy Drama Fantasy Romance Thriller
The Revenant (2015),Adventure Drama
Dave (1993),Comedy Romance
War for the Planet of the Apes (2017),Action Adventure Drama Sci-Fi
Thor: The Dark World (2013),Action Adventure Fantasy IMAX
Traffic (2000),Crime Drama Thriller
Eastern Promises (2007),Crime Drama Thriller
Beauty and the Beast (1991),Animation Children Fantasy Musical Romance IMAX
Clerks II (2006),Comedy
Evolution (2001),Comedy Sci-Fi
"Rundown, The (2003)",Action Adventure Comedy
Reservoir Dogs (1992),Crime Mystery Thriller
"Aviator, The (2004)",Drama
When Harry Met Sally... (1989),Comedy Romance
Home Alone 2: Lost in New York (1992),Children Comedy
Flightplan (2005),Action Drama Thriller
Alien (1979),Horror Sci-Fi
"Beach, The (2000)",Adventure Drama
"Deer Hunter, The (1978)",Drama War
Heat (1995),Action Crime Thriller
"Big Hit, The (1998)",Action Comedy Crime
Transformers: Dark of the Moon (2011),Action Adventure Sci-Fi War IMAX
Amores Perros (Love's a Bitch) (2000),Drama Thriller
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action Crime Drama Thriller
Dumb & Dumber (Dumb and Dumber) (1994),Adventure Comedy
K-PAX (2001),Drama Fantasy Mystery Sci-Fi
Pretty Woman (1990),Comedy Romance
Hero (1992),Comedy Drama
"Brothers McMullen, The (1995)",Comedy
"Incredibles, The (2004)",Action Adventure Animation Children Comedy
Dancer in the Dark (2000),Drama Musical
American Beauty (1999),Drama Romance
3:10 to Yuma (2007),Action Crime Drama Western
101 Rent Boys (2000),Documentary
"Italian Job, The (2003)",Action Crime
True Lies (1994),Action Adventure Comedy Romance Thriller
Get Shorty (1995),Comedy Crime Thriller
Eraser (1996),Action Drama Thriller
Mermaids (1990),Comedy Drama Romance
Constantine (2005),Action Fantasy Horror Thriller
Strictly Ballroom (1992),Comedy Romance
In & Out (1997),Comedy
World War Z (2013),Action Drama Horror IMAX
Back to the Future (1985),Adventure Comedy Sci-Fi
"Girl Next Door, The (2004)",Comedy Romance
Star Trek: The Motion Picture (1979),Adventure Sci-Fi
American Pie (1999),Comedy Romance
Braveheart (1995),Action Drama War
Underworld: Awakening (2012),Action Fantasy Horror IMAX
Scary Movie 2 (2001),Comedy
Babe (1995),Children Drama
Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror
In the Line of Fire (1993),Action Thriller
Die Hard (1988),Action Crime Thriller
Dogma (1999),Adventure Comedy Fantasy
Little Monsters (1989),Comedy
"Bourne Identity, The (2002)",Action Mystery Thriller
Wag the Dog (1997),Comedy
Meet the Fockers (2004),Comedy
Dead Man (1995),Drama Mystery Western
City of God (Cidade de Deus) (2002),Action Adventure Crime Drama Thriller
Quiz Show (1994),Drama
Wayne's World (1992),Comedy
"Departed, The (2006)",Crime Drama Thriller
"Dark Knight, The (2008)",Action Crime Drama IMAX
Proof of Life (2000),Drama
Rear Window (1954),Mystery Thriller
Speed (1994),Action Romance Thriller
Ali (2001),Drama
Batman Begins (2005),Action Crime IMAX
Persuasion (1995),Drama Romance
Dark City (1998),Adventure Film-Noir Sci-Fi Thriller
Crimson Tide (1995),Drama Thriller War
Billy Elliot (2000),Drama
Butch Cassidy and the Sundance Kid (1969),Action Western
"Dead Zone, The (1983)",Thriller
John Wick (2014),Action Thriller
Doubt (2008),Drama Mystery
Rosencrantz and Guildenstern Are Dead (1990),Comedy Drama
"Patriot, The (2000)",Action Drama War
A.I. Artificial Intelligence (2001),Adventure Drama Sci-Fi
Gone Baby Gone (2007),Crime Drama Mystery
"Four Feathers, The (2002)",Adventure War
Jurassic Park (1993),Action Adventure Sci-Fi Thriller
Just Like Heaven (2005),Comedy Fantasy Romance
Legend of the Guardians: The Owls of Ga'Hoole (2010),Adventure Animation Fantasy IMAX
Fargo (1996),Comedy Crime Drama Thriller
"Bridges of Madison County, The (1995)",Drama Romance
Animal House (1978),Comedy
"Fast Runner, The (Atanarjuat) (2001)",Drama Fantasy
Stargate (1994),Action Adventure Sci-Fi
Face/Off (1997),Action Crime Drama Thriller
Frequency (2000),Drama Thriller
Galaxy Quest (1999),Adventure Comedy Sci-Fi
Amadeus (1984),Drama
Transformers (2007),Action Sci-Fi Thriller IMAX
Stalker (1979),Drama Mystery Sci-Fi
"Lord of the Rings: The Two Towers, The (2002)",Adventure Fantasy
"Postman, The (Postino, Il) (1994)",Comedy Drama Romance
"Cell, The (2000)",Drama Horror Thriller
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy War
Big (1988),Comedy Drama Fantasy Romance
Arsenic and Old Lace (1944),Comedy Mystery Thriller
Yellow Submarine (1968),Adventure Animation Comedy Fantasy Musical
Pirates of Silicon Valley (1999),Documentary Drama
Rumble in the Bronx (Hont faan kui) (1995),Action Adventure Comedy Crime
Pirates of the Caribbean: On Stranger Tides (2011),Action Adventure Fantasy IMAX
"Tourist, The (2010)",Drama Thriller
Gangster Squad (2013),Action Crime Drama
Anaconda (1997),Action Adventure Thriller
High School Musical 3: Senior Year (2008),Musical
"Dish, The (2001)",Comedy
Robin Hood (1973),Adventure Animation Children Comedy Musical
Sister Act 2: Back in the Habit (1993),Comedy
X-Men (2000),Action Adventure Sci-Fi
Tootsie (1982),Comedy Romance
Chicago (2002),Comedy Crime Drama Musical
Ace Ventura: Pet Detective (1994),Comedy
Mars Attacks! (1996),Action Comedy Sci-Fi
Jaws (1975),Action Horror
Taken (2008),Action Crime Drama Thriller
American Sniper (2014),Action War
Police Academy: Mission to Moscow (1994),Comedy Crime
Cinderella Man (2005),Drama Romance
Emma (1996),Comedy Drama Romance
Bad Boys (1995),Action Comedy Crime Drama Thriller
Plan 9 from Outer Space (1959),Horror Sci-Fi
What We Do in the Shadows (2014),Comedy Horror
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",Comedy Drama
Captain Fantastic (2016),Drama
Clueless (1995),Comedy Romance
Mad Money (2008),Comedy Crime Thriller
One Flew Over the Cuckoo's Nest (1975),Drama
"Last of the Mohicans, The (1992)",Action Romance War Western
Inception (2010),Action Crime Drama Mystery Sci-Fi Thriller IMAX
Superman (1978),Action Adventure Sci-Fi
"Three Musketeers, The (1993)",Action Adventure Comedy Romance
"Uninvited, The (2009)",Drama Horror Mystery Thriller
Coco (2017),Adventure Animation Children
Dazed and Confused (1993),Comedy
Mission: Impossible II (2000),Action Adventure Thriller
Boys Don't Cry (1999),Drama
Ted (2012),Comedy Fantasy
"Double Life of Veronique, The (Double Vie de Véronique, La) (1991)",Drama Fantasy Romance
Peggy Sue Got Married (1986),Comedy Drama
Blood Diamond (2006),Action Adventure Crime Drama Thriller War
"River Runs Through It, A (1992)",Drama
Leprechaun 3 (1995),Comedy Fantasy Horror
"Truman Show, The (1998)",Comedy Drama Sci-Fi
While You Were Sleeping (1995),Comedy Romance
"Blair Witch Project, The (1999)",Drama Horror Thriller
"Naked Gun: From the Files of Police Squad!, The (1988)",Action Comedy Crime Romance
"Pink Panther Strikes Again, The (1976)",Comedy Crime
